ciudad,año,temp_media_anual,tipo
SANTA CRUZ,2024,25.606609648481694,Histórico
SANTA CRUZ,2025,24.700790197941092,Histórico
SANTA CRUZ,2026,27.052534562211964,Histórico
SANTA CRUZ,2026,24.667055555555557,Predicción
SANTA CRUZ,2027,25.266775,Predicción
SANTA CRUZ,2028,25.30905,Predicción
SANTA CRUZ,2029,25.346216666666667,Predicción
SANTA CRUZ,2030,25.384033333333335,Predicción
SUCRE,1990,14.85,Histórico
SUCRE,1991,15.275,Histórico
SUCRE,1992,14.829166666666666,Histórico
SUCRE,1993,14.829166666666666,Histórico
SUCRE,1994,14.737499999999999,Histórico
SUCRE,1995,14.891666666666666,Histórico
SUCRE,1996,13.829166666666666,Histórico
SUCRE,1997,14.120833333333332,Histórico
SUCRE,1998,14.941666666666668,Histórico
SUCRE,1999,13.7325,Histórico
SUCRE,2000,14.133333333333333,Histórico
SUCRE,2001,14.295454583333333,Histórico
SUCRE,2002,14.799999999999999,Histórico
SUCRE,2003,14.424999999999999,Histórico
SUCRE,2004,14.441666666666668,Histórico
SUCRE,2005,14.391666666666666,Histórico
SUCRE,2006,14.541666666666666,Histórico
SUCRE,2007,14.6,Histórico
SUCRE,2008,13.731772957607218,Histórico
SUCRE,2009,14.388763120839734,Histórico
SUCRE,2010,15.1,Histórico
SUCRE,2011,14.546270161290323,Histórico
SUCRE,2012,14.674999999999999,Histórico
SUCRE,2013,14.458333333333334,Histórico
SUCRE,2014,14.950000000000001,Histórico
SUCRE,2015,14.766666666666666,Histórico
SUCRE,2016,16.458333333333332,Histórico
SUCRE,2017,16.349999999999998,Histórico
SUCRE,2018,13.966666666666667,Histórico
SUCRE,2019,14.333333333333334,Histórico
SUCRE,2020,15.216666666666667,Histórico
SUCRE,2021,13.716666666666667,Histórico
SUCRE,2022,13.667710049918284,Histórico
SUCRE,2023,14.761202078503317,Histórico
SUCRE,2024,15.340403563282594,Histórico
SUCRE,2025,13.875174411162314,Histórico
SUCRE,2026,15.180587557603676,Histórico
SUCRE,2026,14.2680875,Predicción
SUCRE,2027,14.428641666666666,Predicción
SUCRE,2028,14.408999999999999,Predicción
SUCRE,2029,14.389458333333332,Predicción
SUCRE,2030,14.369916666666667,Predicción
TARIJA,1990,18.166666666666668,Histórico
TARIJA,1991,18.263636363636365,Histórico
TARIJA,1992,17.55,Histórico
TARIJA,1993,18.177777777777777,Histórico
TARIJA,1994,18.391666666666666,Histórico
TARIJA,1995,18.108333333333334,Histórico
TARIJA,1996,17.616666666666667,Histórico
TARIJA,1997,18.708333333333332,Histórico
TARIJA,1998,18.083333333333332,Histórico
TARIJA,1999,17.125,Histórico
TARIJA,2000,17.916666666666668,Histórico
TARIJA,2001,18.366666666666667,Histórico
